지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
108,서울,2015-01-01,-7.7,-9.8,745,-4.3,1500,,,,,,,12.1,270,510,6.5,320,1256,4.6,3999,290,,,,,
108,서울,2015-01-02,-6,-9,730,-1.9,1513,,,,,,,13,270,1322,6.7,290,1322,3.2,2789,270,,,,,
108,서울,2015-01-03,-2.7,-9.2,429,3.1,1511,,,,,,,6.7,250,1720,4.4,230,1701,1.9,1678,230,,,,,
108,서울,2015-01-04,2.5,0.2,534,8.5,1521,0.08,,,,,0,6.1,70,814,3.7,50,332,2,1758,50,,,,,
108,서울,2015-01-05,3.7,-1.1,409,7.9,1433,3.83,,,,,0.4,6.9,70,646,4.4,70,1257,2.4,2087,70,,,,,
108,서울,2015-01-06,-3.2,-7.6,2346,4,1,3.67,,,,,3,10.9,270,557,7.3,290,726,4.3,3712,290,,,,,
108,서울,2015-01-07,-5.5,-8.9,327,-0.6,1529,,,,,,,6.8,270,1450,4.5,320,2123,2.5,2201,270,,,,,
108,서울,2015-01-08,-5.1,-9.5,732,-0.2,1453,,,,,,,6.7,230,1209,4.8,270,1131,2.2,1884,270,,,,,
108,서울,2015-01-09,-2.1,-6.8,753,3.5,1518,,,,,,,7.1,250,1614,4.2,290,1415,2,1705,270,,,,,
108,서울,2015-01-10,-0.3,-5.6,730,4.8,1530,,,,,,,9.5,270,1350,6.3,270,1359,2.3,2024,270,,,,,
108,서울,2015-01-11,-0.4,-4.3,2356,2.5,1422,,,,,,,11.1,270,1503,6.8,250,1449,3.6,3076,290,,,,,
108,서울,2015-01-12,-2.7,-7.3,715,3.7,1345,,,,,,,8,320,250,4.7,340,241,1.8,1520,270,,,,,
108,서울,2015-01-13,0.2,-5.1,528,5.8,1508,,,,,,,5.1,50,837,3.4,70,843,1.8,1551,50,,,,,
108,서울,2015-01-14,2.5,-0.3,510,6.1,1357,,,,,,,5,250,1525,3.4,250,1526,1.5,1275,20,,,,,
108,서울,2015-01-15,2.8,-1.1,759,9,1517,,,,,,,7.3,250,1720,4.7,270,1618,2.1,1809,270,,,,,
108,서울,2015-01-16,0.8,-2.5,2301,3.4,1247,1.72,,,,,0.3,11.4,270,1314,7.4,270,1946,4,3454,250,,,,,
108,서울,2015-01-17,-4.1,-7.7,750,0,1556,,,,,,,12.2,270,7,7.7,270,11,3.8,3264,270,,,,,
108,서울,2015-01-18,-1.3,-6.5,433,2.1,1249,8.5,,,,,4,7.3,200,1731,4.9,180,1740,2.3,1993,50,5.1,2221,5.1,2221,5
108,서울,2015-01-19,-0.1,-4,2355,3.1,1230,0.57,,,,,0.1,9.9,250,1255,5.9,250,1255,3.2,2773,270,0.1,48,4.6,1,0.1
108,서울,2015-01-20,-0.9,-6.4,739,4.4,1448,,,,,,,6.3,50,1048,3.9,50,1056,1.9,1653,50,,,0.5,1,
108,서울,2015-01-21,2.6,-1.2,725,6.5,1337,,,,,,,5.6,70,1100,3.7,70,1108,2,1705,70,,,,,
108,서울,2015-01-22,3.1,0.8,639,7.1,1414,,,,,,,4.7,50,2325,3.1,70,2353,1.5,1267,270,,,,,
108,서울,2015-01-23,1.2,-1.6,721,4.9,1631,,,,,,,7.6,270,1616,5.2,230,1604,2.6,2246,50,,,,,
108,서울,2015-01-24,3.7,0.8,731,8.4,1440,,,,,,,6.5,270,1446,4.4,290,1238,1.8,1597,290,,,,,
108,서울,2015-01-25,3,1.1,719,5,1331,10.45,,,,,3,7.6,70,1730,5.2,70,1909,3.5,2990,70,,,,,
