"YYYYMMDD(운행일자)","BUS_ID(노선ID)","BUS_NM(노선)","STATION_ID(정류장ID)","STATION_NM(정류장)","TIME(승차시간구분)","HALF_HOUR(시간구간ID)","PASSN_GETON(승차총승객수)","PASSN_GETOFF(하차총승객수)"
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","04:00:00~04:59:59","30",12,7
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","05:00:00~05:59:59","00",4,6
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","05:00:00~05:59:59","30",2,8
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","06:00:00~06:59:59","00",1,10
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","06:00:00~06:59:59","30",2,7
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","07:00:00~07:59:59","00",3,9
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","07:00:00~07:59:59","30",6,17
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","08:00:00~08:59:59","00",8,14
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","08:00:00~08:59:59","30",7,12
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","09:00:00~09:59:59","00",2,11
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","09:00:00~09:59:59","30",5,10
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","10:00:00~10:59:59","00",0,8
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","10:00:00~10:59:59","30",1,14
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","11:00:00~11:59:59","00",2,9
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","11:00:00~11:59:59","30",0,6
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","12:00:00~12:59:59","00",0,7
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","12:00:00~12:59:59","30",0,7
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","13:00:00~13:59:59","00",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","13:00:00~13:59:59","30",6,6
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","14:00:00~14:59:59","00",0,4
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","14:00:00~14:59:59","30",1,4
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","15:00:00~15:59:59","00",2,5
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","15:00:00~15:59:59","30",2,0
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","16:00:00~16:59:59","00",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","16:00:00~16:59:59","30",1,3
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","17:00:00~17:59:59","00",3,8
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","17:00:00~17:59:59","30",2,7
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","18:00:00~18:59:59","00",2,5
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","18:00:00~18:59:59","30",4,6
"2015-10-01","11110001","100번(하계동~용산구청)","0007197","명륜3가.성대입구","19:00:00~19:59:59","00",7,4
