"YYYYMMDD(운행일자)","LINE_ID(호선ID)","LINE_NM(호선이름)","STATION_ID(역ID)","STATION_NM(역이름)","TIME(승차시간구분)","HALF_HOUR(30분시간구간ID)","PASSN_GETON(승차총승객수)","PASSN_GETOFF(하차총승객수)"
"2015-10-01","001","1호선","0150","서울역","00:00:00~00:59:59","00",199,210
"2015-10-01","001","1호선","0150","서울역","00:00:00~00:59:59","30",15,75
"2015-10-01","001","1호선","0150","서울역","01:00:00~01:59:59","00",0,30
"2015-10-01","001","1호선","0150","서울역","04:00:00~04:59:59","30",34,0
"2015-10-01","001","1호선","0150","서울역","05:00:00~05:59:59","00",211,56
"2015-10-01","001","1호선","0150","서울역","05:00:00~05:59:59","30",191,264
"2015-10-01","001","1호선","0150","서울역","06:00:00~06:59:59","00",236,725
"2015-10-01","001","1호선","0150","서울역","06:00:00~06:59:59","30",310,983
"2015-10-01","001","1호선","0150","서울역","07:00:00~07:59:59","00",844,1714
"2015-10-01","001","1호선","0150","서울역","07:00:00~07:59:59","30",1163,3183
"2015-10-01","001","1호선","0150","서울역","08:00:00~08:59:59","00",1627,4967
"2015-10-01","001","1호선","0150","서울역","08:00:00~08:59:59","30",1572,5308
"2015-10-01","001","1호선","0150","서울역","09:00:00~09:59:59","00",1056,2754
"2015-10-01","001","1호선","0150","서울역","09:00:00~09:59:59","30",1505,2250
"2015-10-01","001","1호선","0150","서울역","10:00:00~10:59:59","00",1294,1475
"2015-10-01","001","1호선","0150","서울역","10:00:00~10:59:59","30",961,1319
"2015-10-01","001","1호선","0150","서울역","11:00:00~11:59:59","00",1457,1111
"2015-10-01","001","1호선","0150","서울역","11:00:00~11:59:59","30",1296,1090
"2015-10-01","001","1호선","0150","서울역","12:00:00~12:59:59","00",1465,1155
"2015-10-01","001","1호선","0150","서울역","12:00:00~12:59:59","30",1589,1113
"2015-10-01","001","1호선","0150","서울역","13:00:00~13:59:59","00",1248,1076
"2015-10-01","001","1호선","0150","서울역","13:00:00~13:59:59","30",1788,1166
"2015-10-01","001","1호선","0150","서울역","14:00:00~14:59:59","00",1230,1225
"2015-10-01","001","1호선","0150","서울역","14:00:00~14:59:59","30",1478,1185
"2015-10-01","001","1호선","0150","서울역","15:00:00~15:59:59","00",1935,1210
"2015-10-01","001","1호선","0150","서울역","15:00:00~15:59:59","30",1711,1145
"2015-10-01","001","1호선","0150","서울역","16:00:00~16:59:59","00",1840,1326
"2015-10-01","001","1호선","0150","서울역","16:00:00~16:59:59","30",1843,1179
"2015-10-01","001","1호선","0150","서울역","17:00:00~17:59:59","00",2239,1195
"2015-10-01","001","1호선","0150","서울역","17:00:00~17:59:59","30",2479,1327
"2015-10-01","001","1호선","0150","서울역","18:00:00~18:59:59","00",4228,1530
"2015-10-01","001","1호선","0150","서울역","18:00:00~18:59:59","30",4294,1584
"2015-10-01","001","1호선","0150","서울역","19:00:00~19:59:59","00",3123,1623
"2015-10-01","001","1호선","0150","서울역","19:00:00~19:59:59","30",2139,1003
"2015-10-01","001","1호선","0150","서울역","20:00:00~20:59:59","00",1867,853
"2015-10-01","001","1호선","0150","서울역","20:00:00~20:59:59","30",1588,998
"2015-10-01","001","1호선","0150","서울역","21:00:00~21:59:59","00",2083,682
"2015-10-01","001","1호선","0150","서울역","21:00:00~21:59:59","30",1670,850
"2015-10-01","001","1호선","0150","서울역","22:00:00~22:59:59","00",1466,864
"2015-10-01","001","1호선","0150","서울역","22:00:00~22:59:59","30",979,682
"2015-10-01","001","1호선","0150","서울역","23:00:00~23:59:59","00",756,466
"2015-10-01","001","1호선","0150","서울역","23:00:00~23:59:59","30",500,343
"2015-10-01","001","1호선","0151","시청","00:00:00~00:59:59","00",32,18
"2015-10-01","001","1호선","0151","시청","00:00:00~00:59:59","30",4,8
"2015-10-01","001","1호선","0151","시청","04:00:00~04:59:59","30",1,0
"2015-10-01","001","1호선","0151","시청","05:00:00~05:59:59","00",35,48
"2015-10-01","001","1호선","0151","시청","05:00:00~05:59:59","30",42,151
"2015-10-01","001","1호선","0151","시청","06:00:00~06:59:59","00",74,320
"2015-10-01","001","1호선","0151","시청","06:00:00~06:59:59","30",53,512
"2015-10-01","001","1호선","0151","시청","07:00:00~07:59:59","00",140,1236
"2015-10-01","001","1호선","0151","시청","07:00:00~07:59:59","30",176,2604
"2015-10-01","001","1호선","0151","시청","08:00:00~08:59:59","00",219,3763
"2015-10-01","001","1호선","0151","시청","08:00:00~08:59:59","30",159,4659
